기간,Dubai,Brent,WTI
14년07월10일,672.76,691.86,655.32
14년07월11일,674.85,678.86,641.76
14년07월14일,670.79,685.01,646.14
14년07월15일,669.39,679.19,640.37
14년07월16일,676.48,681.56,651.62
14년07월17일,681.78,700.81,670.28
14년07월18일,684.59,694.49,667.88
14년07월21일,682.61,698.90,678.85
14년07월22일,682.03,693.66,674.85
14년07월23일,678.81,696.21,664.57
14년07월24일,680.58,688.81,656.65
14년07월25일,679.90,700.85,660.12
14년07월28일,,696.50,658.29
14년07월29일,682.50,694.62,651.09
14년07월30일,683.07,686.48,646.27
14년07월31일,677.97,683.06,632.48
14년08월01일,677.23,676.71,631.78
14년08월04일,670.67,685.36,639.07
14년08월05일,673.65,678.84,631.93
14년08월06일,667.55,678.71,628.94
14년08월07일,670.08,685.95,633.26
14년08월08일,675.68,683.29,635.34
14년08월11일,675.22,683.05,639.99
14년08월12일,669.30,667.81,631.19
14년08월13일,659.60,674.47,631.20
14년08월14일,666.19,659.66,618.08
14년08월15일,652.87,669.49,629.53
14년08월18일,658.32,654.97,621.51
14년08월19일,644.22,650.11,604.79
14년08월20일,643.19,654.91,615.15
14년08월21일,644.06,659.02,603.35
14년08월22일,645.47,656.84,601.36
14년08월25일,642.79,658.25,598.61
14년08월26일,645.09,658.00,602.53
14년08월27일,643.58,657.73,601.12
14년08월28일,642.51,653.87,603.39
14년08월29일,640.86,657.88,611.79
14년09월01일,644.36,656.17,
14년09월02일,640.47,640.15,592.56
14년09월03일,624.36,656.50,610.31
14년09월04일,641.20,652.61,605.31
14년09월05일,634.10,645.56,597.35
14년09월08일,627.95,641.59,593.31
14년09월09일,624.69,634.93,593.89
14년09월10일,619.63,627.76,586.97
14년09월11일,617.46,632.09,598.25
14년09월12일,623.89,631.82,600.33
14년09월15일,621.49,631.02,606.67
14년09월16일,620.39,647.25,620.00
14년09월17일,628.08,644.42,614.80
14년09월18일,626.71,635.35,605.25
14년09월19일,625.09,644.55,605.37
14년09월22일,630.42,637.32,601.50
14년09월23일,621.34,633.97,599.34
14년09월24일,621.65,635.48,608.28
14년09월25일,620.80,634.40,605.17
14년09월26일,622.40,636.11,613.42
14년09월29일,622.40,637.48,620.23
14년09월30일,627.84,625.59,602.40
14년10월01일,620.41,624.65,601.90
14년10월02일,613.67,,
14년10월03일,608.73,616.68,599.51
14년10월06일,601.61,619.30,602.95
14년10월07일,611.47,619.74,597.81
14년10월08일,603.27,612.99,585.69
14년10월09일,598.57,604.07,575.36
14년10월10일,593.80,608.43,578.83
14년10월13일,594.49,598.80,577.58
14년10월14일,587.32,571.85,550.33
14년10월15일,563.44,560.43,547.05
14년10월16일,556.88,566.27,554.40
14년10월17일,559.00,574.40,551.67
14년10월20일,567.43,570.84,546.17
14년10월21일,562.46,575.07,552.33
14년10월22일,,561.85,534.06
14년10월23일,551.75,575.48,544.06
14년10월24일,561.80,571.76,537.77
14년10월27일,560.95,571.87,539.69
14년10월28일,556.01,569.58,539.06
14년10월29일,556.01,575.70,543.19
14년10월30일,558.58,567.93,534.22
14년10월31일,558.67,569.21,533.94
14년11월03일,559.68,564.61,524.65
14년11월04일,552.14,560.05,521.98
14년11월05일,541.83,563.43,534.43
14년11월06일,541.43,562.20,528.61
14년11월07일,545.76,571.25,538.78
14년11월10일,550.29,565.82,531.87
14년11월11일,540.33,557.46,532.00
14년11월12일,538.49,551.03,529.10
14년11월13일,535.90,538.38,523.87
14년11월14일,510.90,,523.40
14년11월17일,519.69,548.54,523.15
14년11월18일,518.05,541.44,514.81
14년11월19일,514.66,539.82,515.49
14년11월20일,515.20,550.97,524.92
14년11월21일,531.40,562.62,535.67
14년11월24일,541.81,556.76,529.51
14년11월25일,539.43,547.97,518.30
14년11월26일,529.92,544.20,515.78
14년11월27일,510.59,505.37,
14년11월28일,478.50,485.84,458.14
14년12월01일,462.13,504.18,479.57
14년12월02일,484.57,495.24,469.55
14년12월03일,466.92,486.76,469.07
14년12월04일,469.28,488.14,468.30
14년12월05일,464.89,484.75,462.08
14년12월08일,459.46,463.45,441.47
14년12월09일,444.55,470.15,448.91
14년12월10일,445.96,449.32,426.23
14년12월11일,427.74,442.40,416.48
